ID	REND	HESTUDIO	MOT	SEXO	SELEC	STUAULA	GASTO
584	7.9	84	NA	0	7.7	11.6	NA
585	9.6	91	NA	0	9.3	13.4	3.2535
586	8.6	NA	NA	0	7.8	12.1	2.0025
587	6.3	NA	NA	0	7.8	16.2	1.81
588	6.7	NA	NA	0	8.1	13.3	2.565
589	9.7	98	97	0	9.3	7.6	2.963
590	8.2	57	NA	0	8.4	19	3.205
591	9.6	72	89	0	8.9	18.4	3.1
592	9.6	81	NA	0	7.9	10	3.336
593	7.1	23	NA	0	7.9	9.6	NA
594	6.3	52	NA	1	9.6	16.6	2.779
595	3.9	46	NA	0	8	19.2	NA
596	4.8	NA	NA	0	7.8	14.6	NA
597	5.8	8	5	0	6.5	15.2	1.54
598	7.3	79	NA	1	9.7	18	1.805
599	7.5	30	NA	0	7.7	12.1	2.258
600	7.6	28	NA	0	7.5	14.7	NA
601	6.7	70	NA	0	7.1	13.5	1.92
602	8.2	90	NA	0	8.5	13.5	2.024
603	NA	NA	NA	0	7.9	11.2	NA
604	6	NA	NA	0	7.8	18.6	NA
605	NA	2	2	1	8.9	18.3	1.368
606	4.8	32	34	1	7.9	14.8	NA
607	5.9	58	5	1	8.6	12.8	1.696
608	7.5	84	80	0	7.6	15.3	NA
609	2.1	NA	NA	0	6.8	12.9	1.545
610	4.4	NA	19	0	6.8	11.7	NA
611	5.4	NA	19	1	9.6	20.2	1.101
612	4.8	NA	52	0	7.4	14.8	1.532
613	NA	NA	80	1	8.8	15.5	1.45
614	6.7	NA	67	1	9.4	15	1.095
615	4.9	69	80	0	8.2	11.1	1.832
616	6.7	NA	67	0	8.1	13.6	1.575
617	6.3	68	80	0	7.4	11.1	1.63
618	5.6	78	80	0	7.2	19	1.872
619	3.7	NA	NA	0	7.3	11.3	1.475
620	7.3	56	67	0	8.4	16.2	1.67
621	6.2	44	52	0	7.7	16.1	1.67
622	NA	NA	NA	0	7.7	11.1	1.575
623	NA	NA	NA	0	7.2	16.2	.85
624	5.3	NA	67	0	7.9	14.6	1.445
625	3.3	NA	52	1	9.4	16.9	NA
626	5.9	NA	NA	0	7.9	14.1	1.748
627	7.7	NA	NA	0	8	10.8	2.384
628	4.1	NA	NA	1	8.6	18.6	1.145
629	3.6	7	10	0	6.6	8.9	1.82
630	5.3	61	67	1	10	16.5	1.631
631	6.2	NA	NA	0	6.7	12.6	1.975
632	3.4	47	52	1	8.9	23.1	1.796
633	7.1	79	80	0	7.7	13	NA
634	8.7	41	52	0	7	14.4	1.635
635	3.8	NA	34	0	7.6	15.7	1.39
636	3.8	56	52	0	7.9	13.7	1.49
637	3.7	21	19	0	7.8	12.7	1.496
638	5.6	41	52	0	7.4	14	NA
639	9.5	38	34	0	8	11.4	2.3445
640	3.9	NA	34	0	7.6	11.9	NA
641	NA	NA	NA	0	7.6	16.4	1.568
642	3.6	8	34	0	7.1	13	1.868
643	6.7	89	89	0	7.9	11.3	2.3375
644	5	43	34	1	9.7	21.4	NA
645	6.4	NA	NA	0	9.1	14.8	1.66
646	2.6	1	1	0	7.2	18.4	1.215
647	1	7	10	1	9.9	18.2	1.68
648	4.1	57	67	1	10	24.7	NA
649	3.5	NA	NA	1	8.2	14.3	1.471
650	9.3	95	NA	0	8.4	9.6	2.575
651	6.3	92	93	0	7.5	13.4	3.115
652	3.2	58	52	1	9.7	14.6	NA
653	2.9	44	34	1	9.3	21	1.39
654	6.5	91	89	1	10.6	19.7	1.6545
655	NA	NA	10	1	9.7	23.1	NA
656	3.4	26	34	1	8.9	21.9	1.353
657	3.7	73	80	1	9.8	12.8	1.9875
658	NA	64	52	1	9.8	18.7	1.6575
659	5.9	NA	NA	1	8.8	20.5	NA
660	5	NA	NA	0	7.4	10.5	2.025
661	10	64	NA	0	5.9	14.5	NA
662	5.1	NA	NA	1	7.4	12.6	2.32
663	6.3	NA	19	0	8.4	13.1	NA
664	8.4	65	NA	0	8.1	14.5	2.93
665	7.9	77	NA	1	9.5	9.9	2.464
666	5.3	10	19	0	7.2	17.8	2.175
667	8.2	NA	NA	0	7.7	13.2	2.3625
668	9.3	97	NA	1	9.1	12.1	2.149
669	4.8	22	NA	1	8.1	21.2	NA
670	7	36	NA	0	9.3	14	1.759
671	6.2	49	67	1	8.6	18.4	NA
672	7	NA	NA	0	7.9	12.4	2.7
673	5.5	33	NA	0	7.4	10.6	NA
674	4.5	42	NA	1	9.1	15.1	NA
675	6.2	47	52	1	9.5	19.6	NA
676	7.4	70	NA	0	7.7	10.7	1.8675
677	6.8	71	89	0	7.1	9.2	NA
678	6.1	68	80	0	7	6.5	NA
679	10	NA	NA	0	8.6	11.7	1.6425
680	4.6	19	NA	1	7.5	18.1	1.8445
681	NA	NA	NA	1	9.2	15.8	1.8
682	3	1	NA	0	8.1	13.7	NA
683	9	NA	NA	0	8.1	9.6	2.3095
684	6.9	73	89	0	8.3	14.7	NA
685	8.3	66	67	0	8.2	11	2.244
686	6.6	49	NA	0	8	16.8	NA
687	6.5	NA	NA	1	10.1	9	NA
688	5.6	NA	NA	1	9.8	16.9	NA
689	6.1	64	80	1	9.3	22.7	NA
690	7.2	93	96	0	7.9	10.5	2.45
691	8	74	80	0	7.9	16.9	NA
692	5.2	13	19	0	7.1	11.5	1.69
693	5.9	39	67	0	7.3	13	NA
694	5	35	67	0	9.6	16.6	2.005
695	5.7	46	34	0	7.3	2.5	NA
696	4.6	31	80	0	8.3	16.5	1.945
697	5.6	NA	19	1	8.5	15.3	1.876
698	5.7	45	52	1	10	13.4	2.155
699	7.2	34	52	0	7.4	14.1	2.2725
700	5.5	NA	19	0	7.1	11.1	NA
701	6.9	91	93	0	7.6	11.1	1.808
702	7.9	NA	52	0	7.9	17.8	1.94
703	5.7	NA	52	0	7.8	20.5	NA
704	5.9	NA	19	0	7.8	8.4	NA
705	7.7	80	89	0	9.4	13.5	NA
706	5.2	53	34	0	7.3	15.9	1.875
707	8.8	94	80	0	8.3	15.1	2.225
708	7.3	NA	52	0	7.6	10.7	1.7025
709	6.5	NA	34	1	8.9	21	1.296
710	5.4	NA	NA	1	9.4	21.3	NA
711	4.6	NA	NA	1	NA	18.1	1.25
712	6.7	NA	34	1	9.3	23.1	NA
713	4.5	NA	67	1	9	15.1	1.711
714	4.6	62	67	1	9.6	22.2	2.117
715	4.5	79	67	1	10.2	12.2	1.872
716	7.4	58	NA	0	7.7	13.3	2.3925
717	5.2	4	NA	0	7.2	14.2	2.391
718	NA	21	NA	0	6.2	11	NA
719	NA	NA	NA	1	7.8	15	NA
720	6.2	90	NA	0	7.7	11.4	2.7375
721	NA	NA	NA	0	9.1	38.2	NA
722	7.2	40	NA	0	7	22.2	2.467
723	5.7	74	NA	1	7.4	18.6	2.374
724	4.7	NA	NA	1	9.2	18.2	NA
725	6.1	12	NA	0	8.6	21.6	2.785
726	5.3	NA	NA	0	8.7	18.6	2.75
727	6.1	20	NA	0	8.5	16.4	3.025
728	2.8	NA	19	1	8.6	18.4	NA
729	4.7	NA	34	0	7.3	6.8	3.3215
730	4.6	49	NA	1	8	14.9	2.38
731	4.4	53	NA	0	7.2	11.4	2.375
732	5.6	NA	NA	1	10.6	13.1	NA
733	7.7	89	NA	1	10.4	19.5	2.383
734	6.3	85	NA	1	10.1	18.1	2.03
735	7.2	NA	NA	0	9.8	18.5	1.96
736	3	4	NA	1	8.6	15.3	NA
737	5.8	NA	52	0	7.8	19.8	NA
738	2.2	NA	NA	1	7.9	25.3	2.21
739	NA	49	67	0	9.1	23.3	NA
740	5.6	NA	NA	0	8.5	12.5	NA
741	2.4	15	34	1	8	13.4	NA
742	4.2	NA	34	1	8.5	18.1	2.215
743	6	39	NA	0	8.2	16.7	2.7
744	4.8	66	80	0	7.5	11.3	1.668
745	4.2	3	2	0	6.9	14.4	1.635
746	6.8	NA	NA	0	7.7	12.1	2
747	8.7	94	96	1	10.5	11.5	NA
748	2.9	5	34	0	6.6	7.5	2.25
749	4.3	13	NA	1	8.7	19.1	1.569
750	6.3	20	NA	1	9.1	19.2	1.462
751	4.2	76	67	1	9.4	17	1.372
752	5.2	NA	NA	1	9.4	17.7	NA
753	6.4	77	NA	1	8.6	19.5	2.1755
754	5.6	79	NA	1	10	13.6	NA
755	4	11	19	1	10.1	16.6	NA
756	6.6	71	67	1	9	13.9	NA
757	3.3	NA	2	1	9.4	15.9	1.358
758	NA	95	96	1	8	20.8	NA
759	NA	NA	5	0	6.7	17.6	NA
760	NA	50	NA	1	8.8	14.6	NA
761	3.6	1	NA	1	8.5	16.5	NA
762	5	33	34	1	9.4	25.3	NA
763	5.8	NA	NA	0	7.4	14.1	1.925
764	4.3	NA	NA	1	7.5	17.4	1.561
765	7.3	71	80	0	8.7	17.7	1.764
766	3.4	NA	52	1	9.5	14.3	NA
767	NA	NA	NA	0	8.6	17.9	NA
768	6.6	75	NA	0	8.8	15.6	NA
769	8.4	74	NA	0	8.6	14.2	2.958
770	NA	NA	10	1	8.9	17.3	NA
771	NA	67	NA	0	7.4	17.2	1.45
772	5.9	86	NA	0	8.5	10.2	4.01
773	7.1	74	NA	1	9.6	16	2.536
774	3.1	17	NA	1	8.2	15.8	NA
775	NA	64	67	0	6.9	2.3	NA
776	NA	NA	NA	1	9.4	11.7	NA
777	5.5	66	67	0	8	16.1	2.5
778	5.8	92	67	0	5.9	9.3	NA
779	6	82	89	0	5.1	11.8	NA
